url_id,title,llm_category,embedding_category,confidence,correct
8467,Invasion de l’Ukraine en cartes : l’évolution des combats semaine après semaine,geopolitica,geopolitica,0.8479850121446992,True
8466,"Clara Verduch, entrenadora: «En Barre los cambios físicos se ven muy rápido en comparación a otros deportes»",deportes,deportes,0.8806374519544877,True
8465,"Puigdemont acusa a jueces, periodistas y políticos de perpetuar el franquismo",politica,geopolitica,0.8425027638050766,False
8464,Shein bajo la lupa: Greenpeace encuentra sustancias tóxicas en sus prendas,tecnologia,tecnologia,0.8609282512010666,True
8463,Italia extradita a Alemania al cerebro logístico del sabotaje del gasoducto Nord Stream,geopolitica,geopolitica,0.8595687930384698,True
8462,Bruselas rechaza que el plan de paz de EE.UU. y Rusia no tenga en cuenta a Ucrania y la UE,geopolitica,geopolitica,0.8593496475954916,True
8461,El juez Peinado encarga un informe para esclarecer si Begoña Gómez cometió intrusismo al firmar pliegos de contratación de la UCM,politica,politica,0.8516351496308743,True
8460,El Gobierno eleva su oferta salarial a los funcionarios un punto: 11% entre 2025 y 2028,politica,economia,0.8648994104491118,False
8458,Así ha sido la tercera edición de EXPANSIÓN IA Inteligencia Artificial y Nuevas Tecnologías,tecnologia,tecnologia,0.8878085107280633,True
8456,Cómo evitar que su agente de IA sea un socio brillante sin estrategia,tecnologia,otros,0.8563478660423163,False
8455,Pfizer presenta resultados prometedores de su nueva vacuna ARNm contra la gripe,tecnologia,tecnologia,0.8740177729245733,True
8454,El fotógrafo que nos hace mirar de otra manera La Alhambra de Granada y la Mezquita de Córdoba,sociedad,sociedad,0.8435223675806545,True
8453,"Más de 50 estrellas Michelin homenajean a Berasategui: ""La revolución de la cocina española es la unidad del sector""",sociedad,sociedad,0.86417201498398,True
8452,Nokia escindirá la filial de IA para impulsar su negocio,finanzas,finanzas,0.8415868449310393,True
8451,KPMG lanza un nuevo negocio para 'start up' y se refuerza con el fichaje de Marta Echarri,finanzas,finanzas,0.8444691828653035,True
8448,Ceca rompe con el equipo investigado por la trama al ex jefe de la UDEF,politica,deportes,0.8545318345533666,False
8446,Probamos las nuevas gafas inteligentes Meta Oakley Vanguard,tecnologia,tecnologia,0.8828476239134158,True
8445,Coruñesas reabrirá su pescadería de Recoletos aliado con Los 33,sociedad,sociedad,0.8440978986304084,True
8443,"'Bernabéu Infinito', la alianza del Real Madrid con Apple para ""abrir las puertas a todo el planeta""",sociedad,tecnologia,0.8590965122416312,False
8442,ArcelorMittal: un valor bien soportado y con mucho potencial,finanzas,finanzas,0.8677115688303073,True
8441,Nvidia bate las previsiones y gana un 65% más en el tercer trimestre,finanzas,finanzas,0.873392775583858,True
8440,"Naturgy: el canal alcista, dibujado con escuadra y cartabón",finanzas,sociedad,0.8401626130996243,False
8438,Valores Ibex 35,finanzas,finanzas,0.8920984768269222,True
8437,Precio Gasolina hoy,finanzas,finanzas,0.8927815653877027,True
8436,Euríbor hoy,economia,tecnologia,0.8643397084518886,False
8431,La londinense Bond Street tiene el alquiler más caro del mundo,economia,finanzas,0.838311171430768,False
8430,Nace el primer sistema para medir las emisiones de CO2 de la economía digital en España,tecnologia,tecnologia,0.8467125938291375,True
8429,"Endesa convence con sus cuentas, pero sufre 'mal de altura'",finanzas,finanzas,0.8643106629970496,True
8428,Foodiverse sale de pérdidas tras reordenar su deuda,finanzas,finanzas,0.8617524201769153,True
8427,Selenta (Brookfield) busca crecer con contratos de gestión y dar el salto internacional,finanzas,finanzas,0.8637516885072805,True
8426,Reino Unido elevará a 120.000 libras la garantía de depósitos,finanzas,finanzas,0.8691825802146445,True
8425,Deutsche Bank rebaja a la mitad su valoración de eDreams,finanzas,finanzas,0.8687833694496485,True
8424,"Hacienda prorroga el sistema de módulos para autónomos, pero deja los límites en el aire",economia,politica,0.8557978264831692,False
8423,"Axa prevé cerrar de forma inminente su entrada en Fiberpass, la firma de Telefónica y Vodafone",finanzas,finanzas,0.8662533823655436,True
