url_id,title,llm_category,embedding_category,confidence,correct
8467,Invasion de l’Ukraine en cartes : l’évolution des combats semaine après semaine,geopolitica,geopolitica,0.8479276,True
8466,"Clara Verduch, entrenadora: «En Barre los cambios físicos se ven muy rápido en comparación a otros deportes»",deportes,deportes,0.8823055,True
8465,"Puigdemont acusa a jueces, periodistas y políticos de perpetuar el franquismo",politica,deportes,0.8477432,False
8464,Shein bajo la lupa: Greenpeace encuentra sustancias tóxicas en sus prendas,tecnologia,tecnologia,0.86136997,True
8463,Italia extradita a Alemania al cerebro logístico del sabotaje del gasoducto Nord Stream,geopolitica,geopolitica,0.8663496,True
8462,Bruselas rechaza que el plan de paz de EE.UU. y Rusia no tenga en cuenta a Ucrania y la UE,geopolitica,geopolitica,0.87542254,True
8461,El juez Peinado encarga un informe para esclarecer si Begoña Gómez cometió intrusismo al firmar pliegos de contratación de la UCM,politica,politica,0.8616289,True
8460,El Gobierno eleva su oferta salarial a los funcionarios un punto: 11% entre 2025 y 2028,politica,economia,0.88522696,False
8458,Así ha sido la tercera edición de EXPANSIÓN IA Inteligencia Artificial y Nuevas Tecnologías,tecnologia,tecnologia,0.89688873,True
8456,Cómo evitar que su agente de IA sea un socio brillante sin estrategia,tecnologia,otros,0.8584375,False
8455,Pfizer presenta resultados prometedores de su nueva vacuna ARNm contra la gripe,tecnologia,tecnologia,0.8909144,True
8454,El fotógrafo que nos hace mirar de otra manera La Alhambra de Granada y la Mezquita de Córdoba,sociedad,sociedad,0.8623221,True
8453,"Más de 50 estrellas Michelin homenajean a Berasategui: ""La revolución de la cocina española es la unidad del sector""",sociedad,sociedad,0.8752667,True
8452,Nokia escindirá la filial de IA para impulsar su negocio,finanzas,finanzas,0.86055446,True
8451,KPMG lanza un nuevo negocio para 'start up' y se refuerza con el fichaje de Marta Echarri,finanzas,finanzas,0.86499983,True
8448,Ceca rompe con el equipo investigado por la trama al ex jefe de la UDEF,politica,geopolitica,0.85929835,False
8446,Probamos las nuevas gafas inteligentes Meta Oakley Vanguard,tecnologia,tecnologia,0.8980906,True
